method,sample_size,independent_pair_count,joint_delta,proof_status,observable_radius,nonvacuous,theorem_source,stopping_reason,fourth_moment_factor,scale_relative_variance_factor,scale_relative_radius,minimum_scale_block_size,new_matvec_queries
independent_pair_robust_mom,4,2,0.01,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 1 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,4,2,0.05,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 1 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,4,2,0.1,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 1 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,8,4,0.01,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 2 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,8,4,0.05,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 2 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,8,4,0.1,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 2 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,16,8,0.01,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 4 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,16,8,0.05,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 4 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,16,8,0.1,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 4 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,32,16,0.01,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 8 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,32,16,0.05,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 8 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_robust_mom,32,16,0.1,PROVED BUT BUDGET-VACUOUS,inf,False,Self-contained pairwise-scale Chebyshev blocks with median amplification,"Even granting every independent D observation to scale estimation, only 8 pairwise scale observations are available; a single 25%-failure block with relative error at most one needs at least 13125.",6561.0,3281.0,,13125.0,0
independent_pair_elementary,4,2,0.01,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 810.06172604314543.",6561.0,3281.0,810.0617260431454,,0
independent_pair_elementary,4,2,0.05,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 362.27061708065696.",6561.0,3281.0,362.27061708065696,,0
independent_pair_elementary,4,2,0.1,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 256.16400996236769.",6561.0,3281.0,256.1640099623677,,0
